Datetime,Content,Username,DisplayName,Location,Lang
2023-06-27 18:13:13+00:00,VazMX SantiagoCreelM Concuerdo contigo este pilutiquillo paso a fregar a los trabajadores  por impulsar la Reforma a la ley del Issste junto con Fox,NoemiLu59359027,Noemi Luna,,es
2023-06-27 18:13:09+00:00,gonzigarcia82 Agradecemos su felicitacion NuevoIssste nos esmeramos en darles un mejor servicio,IsssteQueretaro,Issste Queretaro,"Queretaro, Queretaro Arteaga",es
2023-06-27 18:06:49+00:00,issste esta fallando el sistema del issste a nivel nacional Eso nos dicen a los que estamos esperando hacer tramites en subdelegacion poniente del issste Quiza no nos atiendan eso nos dicen,IRMAROS,IRMA ROSA,Mexico,es
2023-06-27 18:04:47+00:00,usuariosissste ISSSTEmx PedroZentenoSa1 ISSSTESalud Ya lo envie siguen sin darle atencion a mi papa es un senor de la tercera edad que no puede caminar Repito estamos aqui desde las 945 y aun no podemos recibir atencion,dianalucia_sm,Diana ,,es
2023-06-27 18:03:32+00:00,"danstark90 LillyTellez Que en ese estado no gobierna el pan

Por que sera que en estas publicaciones siempre veo a los mismos animales retrasados que perdieron algun beneficio comentando puras penadas

El papa de un amigo es la misma historia por que es parte de un sindicado del issste hahaha",xXAlbertoXxclm,Alberto,Mazatlan ,es
2023-06-27 17:55:30+00:00,Oye ISSSTEmx IsssteZOriente estamos en urgencias esperando consulta en ortopedia y no hay sistema Urge atencion AdelaMicha lopezdoriga SergioyLupita JesusMartinMx si no se ve no hacen caso,ArlesMD,Arles,Mexico,es
2023-06-27 17:45:07+00:00,Sistema Federal de Farmacias del ISSSTE caido  segundo dia  sin abasto httpstcofgRGUXCzbm,virtinsight,Davirt,Mexico,es
2023-06-27 17:44:55+00:00,usuariosissste  ISSSTEmx  que nefasto servicio en la Clinica Churubusco y pesimo trato a los usuarios,marquirozh,Mar,Mexico,es
2023-06-27 17:43:58+00:00,dianaluciasm ISSSTEmx PedroZentenoSa1 ISSSTESalud Buen dia para estar en posibilidad de atenderle seria tan amable de enviar por MD nombre de usted numero telefonico correo electronico nombre del paciente numero telefonico correo electronico y RFC del trabajador gracias,usuarios_issste,Atn DerechoHabiente,,es
2023-06-27 17:42:15+00:00,"1 Porque ellos si estudiaron
2 Porque ellos si trabajan
Y PORQUE NO NOS MANDA AMLO POR ESCRITO CUANDO Y COMO COTIZO AL ISSSTE DONDE TRABAJA SU HIJO EL HUEVON CUANTO PAGAMOS por el CHOCOFLAN EN LONDRES ETC",pipiluyo4,pipiluyo,,es
2023-06-27 17:40:44+00:00,FitSurgeon Primeros auxilios en el ISSSTEmx,fjrg76,Baron Frans Skyler III ,Ciudad de Mexico,es
2023-06-27 17:39:58+00:00,Oye ISSSTEmx  que onda con la pesima atencion de la clinica de Valle de Aragon Saque mi cita por internet para hoy a las 945 y aun no pueden atenderme No es posible PedroZentenoSa1 ISSSTESalud usuariosissste,dianalucia_sm,Diana ,,es
2023-06-27 17:31:52+00:00,"ASEGURA ISSSTE FUNCIONAMIENTO DE NUEVOS HOSPITALES EN PRIMER TRIMESTRE DEL 2024   En la reunion semanal del DG
drpedrozenteno   con las areas del instituto involucradas en la construccion de los nosocomios informo que ya inicio el colado de lozas en Torreon Tlajomulco y CSL httpstco9fdNdy5vjO",IsssteSanLuisP,Issste San Luis Potosi,,es
2023-06-27 17:30:09+00:00, Buenos dias Hoy en AprenderAEnvejecer hablaremos en torno al tema Pension por vejez en el ISSSTE   Da RT httpstcoqSSSUn1eSZ,CanalOnceTV,El Once,"Mexico, D.F.",es
2023-06-27 17:29:52+00:00,IsssteZOriente ISSSTEmx drpedrozenteno,rvalenzuelawolf,WOLF,,qam
2023-06-27 17:28:57+00:00,KrizLohman salvar su vida en la priva pues hubieran muerto esperando turno para pasar en el ISSSTE y sobre todo bien que saben que la mayoria de medicos que trabajan en publico tienen priva pero ni de pedos se esmeran igual Pero para no pasar por momentos  incomodo de ,NanALopez1313,Nancy nan,"Distrito Federal, Mexico",es
2023-06-27 17:26:36+00:00,"ASEGURA ISSSTE FUNCIONAMIENTO DE NUEVOS HOSPITALES EN PRIMER TRIMESTRE DEL 2024 

En la reunion semanal del DG drpedrozenteno con las areas del instituto involucradas en la construccion de los nosocomios informo que ya inicio el colado de lozas en Torreon Tlajomulco y CSL httpstcoENsHeldlXt",ISSSTE_mx,ISSSTE,,es
2023-06-27 17:21:17+00:00,MelissaBely La desilucion de la Melissa es que fue a Dinamarca para comparar las puertas de los centros medicos con los del ISSSTE y los del IMSS Ella no estaba peor cuando estabamos peor porque NUNCA TUVO NECESIDAD de ser paciente El pueblo si estaba PEOR no MELYSSA,C79410938Campos,Israel Campos,,es
2023-06-27 17:20:16+00:00,El ISSSTEmx inauguro la exposicion Ninos princesa del artista Erik Rivera y Activismo diversidad y genero de Marsha Beya de la fundacion Orgullo Diverso de Mexico en la galeria de Buenavista de las oficinas centrales del instituto  httpstcoeg2UiPGt0C,PortavozEdoMex,Portavoz,"Toluca, Mexico",es
2023-06-27 17:19:02+00:00,"En la CMF de Guadalupe la enfermera encargada de medicina preventiva realizaron trabajos de sensibilizacion con las y los derechohabientes informando y orientando sobre el cuidado a la exposicion solar y detectar senales de golpe de calor
SaludParaTodasyTodos
NuevoIssste httpstcoDvJmRRXeke",Issste_Zac,Issste Zacatecas,,es
2023-06-27 17:17:37+00:00,Marcelupi ISSSTEmx De unos anos para aca las instituciones vienen dando mucha pena ajena,IbnAelia,BenSol,"Berga, Espana",es
2023-06-27 17:15:28+00:00," Se llevo a cabo la tradicional rodada ciclista para incentivar a trabajadoras y trabajadores a tener habitos saludables y tener este tipo de actividades dando mejores opciones de mantener el cuerpo y la mente sana

SaludParaTodasyTodos httpstcoCRyVN4NGEG",Issste_Zac,Issste Zacatecas,,es
2023-06-27 17:13:58+00:00,"CMF San Antonio Abad da inicio al Curso Basico a Cuidadores del Adulto Mayor 
En beneficio del cuidado a los pacientes LosBuenosSomosMas httpstconFVIANjZ1y",ISSSTE_ZNORTE,Subdelegacion Medica ISSSTE Zona Norte,Mexico,es
2023-06-27 17:13:30+00:00,"Has visto a personas con baston rojo  y blanco  Conoce que es vivir con Sordoceguera para involucrarte con actitudes que fomenten la inclusion respeto y union

ISSSTESalud 27Junio DiaMundialDeLasPersonasSordociegas httpstcoMnJAUpAhVG",ISSSTE_Salud,ISSSTE Salud,"Ciudad de Mexico, Mexico",es
2023-06-27 17:13:24+00:00,"Y LOS MATRAQUEROS DE MORENA INSISTEN EN SEGUIR VIOLANDO DERECHOS Y GARANTIAS DE LOS CIUDADANOS

NO SOLO TIENEN MIEDO A QUE SE LES PIDAN CUENTAS SINO QUE CUALQUIER CIUDADANO QUE QUIERA INFORMACION DE SUS CUENTAS DEL IMSS ISSSTE INFONAVIT O CUALQUIER OTRA",TamaulipasI,TamaulipasInforma y TamaulipasTe,#Sinaloa #Sonora #Monterrey ,es
