Datetime,Content,Username,DisplayName,Location,Lang,Content_en
2023-06-08 12:26:16+00:00,josemariomx noooo yo llevo 7 anos esperando me paguen la afore pension issste de mi difunto marido dicen debo no niego pago venga manana y asi,temiroaldormir,llanera solitita,unknow,es,josemariomx noooo yo llevo anos esperando me paguen la adore pension issste de mi difunto marido dicen debo no niego pago venga manana y asi
2023-04-28 15:29:18+00:00,interapodacanl en el imss ,isaaclcolorado,isaac l. colorado,"monterrey, mex",es,interapodacanl en el imss
2023-06-06 16:23:58+00:00,el comeftab en conjunto con ocvtabasco  invitan al congreso de medicina familiar proximo a realizarse en 2024 del 22 al 25 de mayo turismotabasco tabascoimss ssaludtab tabascomemorable experienciasmemorables httpstcoskvcp3uux3,comeftab,colegio de medicos familiares de tabasco,"villahermosa, tabasco",es,el cometa en conjunto con ocvtabasco invitan al congreso de medicina familiar proximo a realizarse en del al de mayo turismotabasco tabascoimss ssaludtab tabascomemorable experienciasmemorables
2023-02-09 09:58:10+00:00," inicio la jornada de vacunacion en escuelas primarias de ciudad madero participa la secretaria de salud y el imss nmastampico nmas

httpstcobx9cz3zptg",nmastampico,n+ tampico,"tampico, tamaulipas, mexico",es,inicio la jornada de vacunación en escuelas primarias de ciudad madero participa la secretaria de salud y el imss nmastampico mas
2023-01-24 05:21:30+00:00,"guerrero  continua la secretaria de salud brindando servicios medicos gratuitos en las zonas con mayor marginacion del estado
httpstcowqafaagaog",bravarevista,revista costa brava,unknow,es,guerrero continua la secretaria de salud brindando servicios medicos gratuitos en las zonas con mayor marginación del estado httpstcowqafaagaog
2023-06-21 23:14:57+00:00,"lenballesteros2 issstemx buen dia yo hace mas de un mes denuncie a una licenciada en optometria patito es decir sin cedula profesional avalada por la sepmx 

busca a esther ocampo zizumbo en la direccion general de profesiones y no existe",luisfer01518173,luis fernando roman gonzalez,unknow,es,issstemx buen dia yo hace mas de un mes denuncie a una licenciada en optometrista patito es decir sin cédula profesional avalado por la sepa busca a esther campo zizumbo en la dirección general de profesiones y no existe
2023-05-30 15:54:05+00:00,zoerobledo tuimss se requiere un medico procurador entre instituciones locales nefrologos que lleven protocolos pre y postrasplante y cirujanos exclusivamente en manejo de protocolo quirurgico y complicaciones un patologo especialista en biopsia renal,carlos23041984,carlos1963,unknow,es,zoerobledo tuimss se requiere un medico procurador entre instituciones locales neurólogos que lleven protocolos pre y postrasplante y cirujanos exclusivamente en manejo de protocolo quirúrgico y complicaciones un patólogo especialista en biopsia renal
2023-02-09 19:45:37+00:00,"colombia  casos de vhi en santa marta siguen en aumento este 2023 

concejal pide a secretaria de salud tomar medidas para evitar se disparen el numero de infectados toda la informacion  httpstcorgmnjxelvi httpstco4fnl83qfqi",eltiempo,el tiempo,"bogota, colombia",es,colombia casos de vi en santa marta siguen en aumento este concejal pide a secretaria de salud tomar medidas para evitar se disparen el numero de infectados toda la información httpstcorgmnjxelvi
2023-05-06 21:37:02+00:00,doctormosqueda excelente hilo doc oiga solo una duda me parece que imss bienestar tambien fungira como unidad de financiamiento,reyplo18,rey plo,oaxaca,es,doctormosqueda excelente hilo doc oiga solo una duda me parece que imss bienestar tambien fingir como unidad de financiamiento
2023-06-16 00:55:15+00:00,"contabiliza secretaria de salud 8 muertos por calor
httpstcohlbh5deb33 httpstcog76nqvzdul",elpoder_tv,@elpoder_tv,unknow,es,contabilizar secretaria de salud muertos por calor
2023-06-10 02:58:49+00:00,"ahora en el tuimss a los medicos les dan 10 hojas blancas para imprimir las recetas y otros documentos les tienen que pedir a los pacientes hojas para poder imprimir las recetas con medicamentos que tampoco hay en la farmacia
vamos muy bien",jesegurad,jesus segura,mexico,es,ahora en el tuimss a los medicos les dan hojas blancas para imprimir las recetas y otros documentos les tienen que pedir a los pacientes hojas para poder imprimir las recetas con medicamentos que tampoco hay en la farmacia vamos muy bien
2023-06-14 23:06:21+00:00,"el venidero sabado sera inaugurado el nuevo centro de zoonosis y bromatologia por parte de la secretaria de salud del municipio de mercedes munimercedes juaniustarroz 
httpstcop8qhbmseqx",argactualidad,actualidad regional,unknow,es,el venidero sabado sera inaugurado el nuevo centro de geonosis y bromatologia por parte de la secretaria de salud del municipio de mercedes munimercedes juaniustarroz
