Datetime,Content,Username,DisplayName,Location,Lang,Content_en,polarity,subjectivity
2023-06-27 18:13:13+00:00,vazmx santiagocreelm concuerdo contigo este pilutiquillo paso a fregar a los trabajadores  por impulsar la reforma a la ley del issste junto con fox,noemilu59359027,noemi luna,unknow,es,Make me Santiagocreelm I agree with you this pilutiquillo step on scrubbing workers to promote the reform of the ISSSTE law together with Fox,0.0,0.0
2023-06-27 18:06:49+00:00,issste esta fallando el sistema del issste a nivel nacional eso nos dicen a los que estamos esperando hacer tramites en subdelegacion poniente del issste quiza no nos atiendan eso nos dicen,irmaros,irma rosa,mexico,es,"ISSSTE is failing the ISSSTE system nationwide, they tell those who are waiting",0.0,0.0
2023-06-27 18:04:47+00:00,usuariosissste issstemx pedrozentenosa1 issstesalud ya lo envie siguen sin darle atencion a mi papa es un senor de la tercera edad que no puede caminar repito estamos aqui desde las 945 y aun no podemos recibir atencion,dianalucia_sm,diana ,unknow,es,Userssste ISSSTEMX ISSSTESALUD already sent it still without giving attention to my potato is a signing of the elderly that cannot walk I repeat we are here from them and we still cannot receive attention,0.0,0.0
2023-06-27 18:03:32+00:00,"danstark90 lillytellez que en ese estado no gobierna el pan

por que sera que en estas publicaciones siempre veo a los mismos animales retrasados que perdieron algun beneficio comentando puras penadas

el papa de un amigo es la misma historia por que es parte de un sindicado del issste hahaha",xxalbertoxxclm,alberto,mazatlan ,es,"Lillytellez who does not govern the bread in that state because it will be that in these publications I always see the same delayed animals that lost some benefit commenting pure heavy, the friend of a friend is the same story because he is part of a syndicate of the ISSSTE HAHAHA",0.07142857142857142,0.25
2023-06-27 17:55:30+00:00,oye issstemx issstezoriente estamos en urgencias esperando consulta en ortopedia y no hay sistema urge atencion adelamicha lopezdoriga sergioylupita jesusmartinmx si no se ve no hacen caso,arlesmd,arles,mexico,es,Hey isstemx isstezoriente we are in the emergency room waiting,0.0,0.0
2023-06-27 17:45:07+00:00,sistema federal de farmacias del issste caido  segundo dia  sin abasto httpstcofgrguxczbm,virtinsight,davirt,mexico,es,Federal Pharmacies System of the ISSSTE Fallen second day without supply HTTPSTCOFGGUXCZBM,0.0,0.0
2023-06-27 17:44:55+00:00,usuariosissste  issstemx  que nefasto servicio en la clinica churubusco y pesimo trato a los usuarios,marquirozh,mar,mexico,es,Userssste ISSStemx that nefarious service in churubusco and pessimal clinics treatment of users,0.0,0.0
2023-06-27 17:42:15+00:00,"1 porque ellos si estudiaron
2 porque ellos si trabajan
y porque no nos manda amlo por escrito cuando y como cotizo al issste donde trabaja su hijo el huevon cuanto pagamos por el chocoflan en londres etc",pipiluyo4,pipiluyo,unknow,es,because they if they studied why they work and because it does not send us bad in writing when and how it quotes the ISSSTE where their son works the egg how much we pay for chocolate in London etc,0.2,0.2
2023-06-27 17:40:44+00:00,fitsurgeon primeros auxilios en el issstemx,fjrg76,baron frans skyler iii ,ciudad de mexico,es,Fitsurgeon First Aid in ISSSTEMX,0.25,0.3333333333333333
2023-06-27 17:39:58+00:00,oye issstemx  que onda con la pesima atencion de la clinica de valle de aragon saque mi cita por internet para hoy a las 945 y aun no pueden atenderme no es posible pedrozentenosa1 issstesalud usuariosissste,dianalucia_sm,diana ,unknow,es,Hey ISSSTEMX that waves with the pestic attention of the Dragon Valley Clinic I took out my appointment online for today and they still can't attend me is not possible isstesalud userssste,0.0,1.0
2023-06-27 17:28:57+00:00,krizlohman salvar su vida en la priva pues hubieran muerto esperando turno para pasar en el issste y sobre todo bien que saben que la mayoria de medicos que trabajan en publico tienen priva pero ni de pedos se esmeran igual pero para no pasar por momentos  incomodo de ,nanalopez1313,nancy nan,"distrito federal, mexico",es,Krizlohman save their lives in depriva because they would have died waiting for a turn to pass in the ISSSTE and especially good that they know that most of doctors who work in public have deprive but neither farts are the same but not to go through uncomfortable moments of,0.2,0.5383333333333333
2023-06-27 17:21:17+00:00,melissabely la desilucion de la melissa es que fue a dinamarca para comparar las puertas de los centros medicos con los del issste y los del imss ella no estaba peor cuando estabamos peor porque nunca tuvo necesidad de ser paciente el pueblo si estaba peor no melyssa,c79410938campos,israel campos,unknow,es,Melissabelly the disappointment of the Melissa is that it went to Denmark to compare the doors of the medical centers with those of the ISSSTE and those of the IMSS she was not worse when we were worse because she never needed to be patient the town if the town was worse if I was worse no melissa,-0.24000000000000005,0.44000000000000006
2023-06-27 17:17:37+00:00,marcelupi issstemx de unos anos para aca las instituciones vienen dando mucha pena ajena,ibnaelia,bensol,"berga, espana",es,MARCELUPI ISSSTEMX of some years for here the institutions have been very sorry for others,-0.65,1.0
2023-06-27 17:08:30+00:00,para no perder la costumbre no hay sistema en issstemx issste cmfcuitlahuac cdmx,monikah23,monica h.,mexico,es,In order not to lose custom there is no system in ISSSTEMX ISSSTE CMFCUITLAHUAC as,0.0,0.0
2023-06-27 17:08:27+00:00,drpedrozenteno srpedro por que no hay papeleria en el issste de san cristobal para tramites sencillos  dos meses y vuelta y vuelta o se trata de fastidiar a la gente y que se joda ,virgilio_alegre,virgilio alegre,unknow,es,Dladzente Pedro because there is no paper in the ISSSTE of San Crystal for simple procedures two months and back or is about annoying people and fucking,0.0,0.0
2023-06-27 17:06:49+00:00,issstemx  de risa que no tengan internet en sus instalaciones que dan atencion al publico  gracias 4t ni buen internet puedes contratar,lindacristinana,linda navarro,unknow,es,Issstemx of laughter that do not have internet in their facilities that give attention to the public thanks or good internet you can hire,0.3,0.2888888888888889
2023-06-27 17:06:11+00:00,guacamayanleaks lopezobrador sin gasolina de 10 x litro sin medicamentos para ninos con cancer sin medicamentos en el imss sin seguro medico para la poblacion no adscrita a imss e issste sin apoyos al campo sin corrupcion sin juicios a los culpables de la linea 12 sin trafico de influenciasufff etc,raideronthestor,fuente ovejuna,unknow,es,Guacamayanleaks LopezObrador without X -liter gasoline without medications for children with cancer without medications in the IMSS without medical insurance for the unwritten population to IMSS and ISSSTE without support of the field without corruption without judgments to the culprits of the line without traffic of influencesuffer etc.,0.125,0.125
2023-06-27 17:05:35+00:00,jesusrcuevas inegiinforma seguro ya sabes que toda la informacion que cacarean no ha servido para hacer justicia a los mas necesitados un ejemplo en los hospitales issstedinamarca hay goteras en los quirofanos y como ese muchos ejemplos mas corruptos y cinicos muy 4t,gervelavi,gerardo velazquez,unknow,es,JESUSRCUEVAS Inegiinforma Safe already know that all the information that Cacarean has not served to do justice to the most needy an example in the ISSTEDINAMARCA hospitals there are leaks in the chirofano and as that many more corrupt and cynical examples very cynical,0.15714285714285717,0.6142857142857142
2023-06-27 17:04:52+00:00,bugard63 ryohermoso no entendisteel gobierno no debe gastar mas de lo que ingresapor hacerse cargo de las pensiones imss e isssteque representan una enorme cargapor eso se crearon las aforesasi como el pago de deudano hay dinero para inversion productiva y asno manuel le quito ,megasalessandro,karl der grosse,somewhere in time,es,"Ryohermoso did not understand Government should not spend more than enter to take care of IMSS and ISSTEQUE pensions represent a huge charger, that created the Aphoreses as the payment of debt there is money for productive investment and assume Manuel Le Quito Le Quito Le Quito",0.45000000000000007,0.7
2023-06-27 17:04:25+00:00,no queremos al hospital del issste en el centro de convenciones de acapulco  firma la peticion httpstco1es6nybd62 via changemex,maad_moonchild,m,unknow,es,We do not love the ISSSTE hospital at the Capullo Convention Center signs the petition via changemex,-0.175,0.35
2023-06-27 17:00:33+00:00,"allrighthr a cab entonces sin imss e issste que propones

hoy los destruyo el populismo fascista y estamos mucho peor

big pharma iba a llegar tarde o temprano te guste o no la decision es tuya medicinas sinteticas o herbolaria tradicional",patto53288125,patto paton,gdl,es,Allrighthr A Cab then without IMSS and ISSSTE that you propose today the fascist botulism and we are much worse Big Dharma was going to arrive sooner or later you like it or not the decision is yours synthetic medicines or traditional herbalist or herbalist,-0.12000000000000002,0.29
2023-06-27 16:58:58+00:00,adinachel no conocen al issste,arlesmd,arles,mexico,es,Adinachel do not know the ISSSTE,0.0,0.0
2023-06-27 16:49:35+00:00,en bermudez abogados ofrecemos un servicio altamente especializado en el ambito laboral centrado en la evaluacion y gestion de los sistemas de pensiones del imss y el issste si desea obtener mas informacion no dude en ponerse en contacto con nosotros  55 5564 4719 httpstcoupzitvxwsw,bermudezaboga2,bermudez abogados,"cuauhtemoc, distrito federal",es,In Bermuda Lawyers we offer a highly specialized service in the workplace focused on the evaluation and management of IMSS and ISSSTE pension systems if you want to obtain more information do not hesitate to contact us HTTPSTCOUPZITVXWSW,0.33,0.52
2023-06-27 16:42:55+00:00,salvadorza scjn y cuanto ganas tu ahora antes de que vivias y cuanto has declarado de impuestos mereces pension del issste creo que el que mas ha ganado en este pais eres tu vives en un palacio y cuesta mucho vivir ahi tienes a un hijo en el extranjero aprendiendo a robar,diegocarlosnie2,diego carlos nieto sanchez,unknow,es,Salvadora Scan and how much you earn now before you live and how much you have declared tax to steal,0.1787878787878788,0.3
