Datetime,Content,Username,DisplayName,Location,Lang,Content_en,polarity,subjectivity
2023-05-04 15:07:57+00:00,desde finales del ano pasado las personas empleadoras estan obligadas a inscribir a las trabajadoras del hogar al imss  httpstcolx2lt2c6jy,capitalhumanoee,capital humano,alvaro obregon,es,"Since the end of the past year, employers are obliged to register household workers to IMSS",-0.25,0.25
2023-05-14 19:07:51+00:00,mreldiablo8 tuimss si pero el prinacional  y carlosloret mamaron mas ,tacito666,tacito619,queretaro,es,Tuimsss yes but the prince and Carlosoret killed more,0.15,0.25
2023-05-29 17:05:51+00:00,eluniversalmx orale y le quito la pension a otros expresidentes no me consta pero dicen que amlo  jamas a trabajado y ha sido un manipulador y  si es asi nunca a cotizado al issste por lo cual no tiene derecho,oro_angelica,angelito,argentina,es,"Eluniversalmx Orale and I remove the pension for other former president does not know but they say that badly he worked and has been a manipulator and if so, he is never quoted to the ISSSTE, so he has no right",-0.2419642857142857,0.394345238095238
2023-05-17 05:38:44+00:00,miseleccionmx no pues evitense las heridas del corazon y llevenlo hasta que lo pensione el imss junto con ochoa,jbarron62,jose barron,los angeles,es,"MISLECTIONMX No, therefore, the wounds of the heart and take it until the IMSS is pensioned together with eight",0.0,0.0
2023-06-06 05:08:04+00:00,tuimss alejand80245820 buenas noches presento el mismo caso ya que me recetaron liragluitida en la raza en farmacia solo dicen no hay comunicate a estos telefonos los cuales jamas contestan,123vast,miguel tellez,unknow,es,Tuimss good night I present the same case since I was prescribed liraging in the breed in pharmacy only say there is no communicate to these telephones which they never answer,0.175,0.43125
2023-06-01 00:33:41+00:00,tamaulipas imssbienestar brindara  servicios de salud a mas de 3 millones de personas sin seguridad social dijo el gobernador americo villarreal ante el presidente andres manuel lopez obrador tras la firma de adhesion en tampico lopezobrador dravillarreal pacocuellarc httpstcojklbmfhicn,eduardovizmar,eduardo vizmar,"tampico, tamaulipas",es,"Tamaulipas IMSSBienestar will provide health services to more than millions of people without social security, said Governor America Villarreal before President Andres Manuel Lopez Obrador after the adhesion firm in neither",0.1111111111111111,0.32222222222222224
2023-06-12 20:50:43+00:00,delfinagomeza zoerobledo tuimss todavia no entra y ya dandole en la madre a lo que medio funciona en el estado de mexico  pero si la mayoria que voto lo hizo por usted ahora a chingarnos todos,chava_vazquezf,tadeo justiciero,"lerma, mexico",es,Delfinagomeza Zoerobledo Timsss does not yet enter and already giving the mother to what half works in the state of Mexico but if the majority that vote did it for you now to fucking all,-0.3833333333333333,0.48333333333333334
2023-05-12 14:58:58+00:00,"martinc62041324 mzavalagc santiagocreelm oye gato ya estrenaste coche nuevo ya viajaste ya te atendieron en el imss o issste de partidomorenamx y el
metro vas comodo ",sirjorgetravesi,george,mexico,es,MZAVALAGC SANTIAGOCREELM OYE,0.0,0.0
2023-04-27 23:44:56+00:00,maupami gerardo y el imss se puede ver aparte  pero creo que ya es muy caro,soyalvarolizama,alvaro lizama @ ,ciudad de mexico,es,Maupami Gerard and the IMSS can be seen separately but I think it is already very expensive,-0.65,0.9099999999999999
2023-05-02 04:07:50+00:00,en francia tremendo problema por modificar el sistema de pensiones solo que en mexico ya desaparecieron los trabajadores con ley del 97 86 de los actuales trabajadores en imss ya no se pensionaran solo recibiran su saldo en su afore ya no habra pagos mensuales hasta su muerte httpstcokzjnvq3ksk,masrrorro45520,pacorro el mas rrorro,unknow,es,In France tremendous problem for modifying the pension system only that workers already disappeared with the law of the current workers in IMSS will no longer be mentioned only will receive their balance in their worship there will be no monthly payments until their death,0.08333333333333333,0.85
